paper_group,dataset_name,openml_data_id,instances,features,classes,openml_page,direct_arff_download
experiment_1,labor,4,57,17,2,https://www.openml.org/d/4,https://openml.org/data/v1/download/4/labor.arff
experiment_1,ilpd,1480,583,11,2,https://www.openml.org/d/1480,https://openml.org/data/v1/download/1590565/ilpd.arff
experiment_1,credit-approval,29,690,16,2,https://www.openml.org/d/29,https://openml.org/data/v1/download/29/credit-approval.arff
experiment_1,fruitfly,714,125,5,2,https://www.openml.org/d/714,https://openml.org/data/v1/download/53248/fruitfly.arff
experiment_1,tecator,851,240,125,2,https://www.openml.org/d/851,https://openml.org/data/v1/download/53385/tecator.arff
experiment_1,quake,772,2178,4,2,https://www.openml.org/d/772,https://openml.org/data/v1/download/53306/quake.arff
experiment_1,students-scores,43097,1000,8,2,https://www.openml.org/d/43097,https://openml.org/data/v1/download/22047775/students_scores.arff
experiment_1,Titanic,40704,2201,4,2,https://www.openml.org/d/40704,https://openml.org/data/v1/download/4965305/Titanic.arff
experiment_2,tecator,851,240,125,2,https://www.openml.org/d/851,https://openml.org/data/v1/download/53385/tecator.arff
experiment_2,sleuth-case2002,902,147,7,2,https://www.openml.org/d/902,https://openml.org/data/v1/download/53436/sleuth_case2002.arff
experiment_2,fruitfly,714,125,5,2,https://www.openml.org/d/714,https://openml.org/data/v1/download/53248/fruitfly.arff
experiment_2,leukemia,1104,72,7130,2,https://www.openml.org/d/1104,https://openml.org/data/v1/download/53987/leukemia.arff
experiment_2,cloud,890,108,8,2,https://www.openml.org/d/890,https://openml.org/data/v1/download/53424/cloud.arff
experiment_2,aids,346,50,5,2,https://www.openml.org/d/346,https://openml.org/data/v1/download/52249/aids.arff
experiment_2,prnn-synth,464,250,3,2,https://www.openml.org/d/464,https://openml.org/data/v1/download/52576/prnn_synth.arff
experiment_2,shuttle-landing-control,172,15,7,2,https://www.openml.org/d/172,https://openml.org/data/v1/download/3595/shuttle-landing-control.arff
experiment_2,rabe-266,782,120,3,2,https://www.openml.org/d/782,https://openml.org/data/v1/download/53316/rabe_266.arff
industry_binary,steel-plates-fault,1504,1941,34,2,https://www.openml.org/d/1504,https://openml.org/data/v1/download/1592296/steel-plates-fault.arff
multiclass,Fashion-MNIST,44701,2000,101,10,https://www.openml.org/d/44701,https://openml.org/data/v1/download/22111463/Fashion-MNIST_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True.arff
multiclass,glass,41,214,10,6,https://www.openml.org/d/41,https://openml.org/data/v1/download/41/glass.arff

